0.878	0.698	
0.12	0.7	
0.208	0.7	
0.886	0.7	
0.146	0.702	
0.182	0.702	
0.894	0.702	
0.904	0.704	
0.912	0.706	
0.922	0.708	
0.932	0.71	
0.942	0.712	
0.952	0.714	
0.964	0.716	
0.976	0.718	
0.988	0.72	
